"id","category"
"SW.1","Cellular processes"
"SW.1.1","Cell envelope and cell division"
"SW.1.2","Homeostasis"
"SW.1.2.1","Metal ion homeostasis"
"SW.1.2.2","Coping with stress"
"SW.1.3","Transporters"
"SW.1.3.1","ABC transporters"
"SW.1.3.1.1","Importers"
"SW.1.3.1.2","Exporters"
"SW.1.3.1.3","Unknown"
"SW.1.3.2","ECF transporters"
"SW.1.3.3","Phosphotransferase system"
"SW.1.3.4","Symporter"
"SW.2","Group of genes"
"SW.2.1","Foreign gene"
"SW.2.2","Membrane proteins"
"SW.2.3","Poorly characterized enzymes"
"SW.2.4","Proteins of unknown function"
"SW.2.5","Pseudogenes"
"SW.2.6","ncRNA"
"SW.2.7","Essentiality"
"SW.2.7.1","Essential"
"SW.2.7.2","Not essential"
"SW.2.7.3","Quasi essential"
"SW.2.7.3.1","Minimal growth disadvantage"
"SW.2.7.3.2","Severe growth defect"
"SW.3","Information processing"
"SW.3.1","Genetics"
"SW.3.1.1","DNA replication"
"SW.3.1.2","DNA condensation/segregation"
"SW.3.1.3","DNA repair"
"SW.3.1.4","Other"
"SW.3.2","Protein synthesis, modification and degradation"
"SW.3.2.1","Chaperones, protein folding and maturation"
"SW.3.2.2","Protein modification"
"SW.3.2.3","Protein secretion"
"SW.3.2.4","Proteolysis"
"SW.3.2.5","Translation"
"SW.3.2.5.1","Aminoacyl-tRNA synthase"
"SW.3.2.5.2","Ribosomal proteins"
"SW.3.2.5.3","Ribosomal RNA"
"SW.3.2.5.4","Ribosome assembly"
"SW.3.2.5.5","rRNA modifications and maturation"
"SW.3.2.5.6","Translation factors"
"SW.3.2.5.7","tRNA"
"SW.3.2.5.8","tRNA modification and maturation"
"SW.3.2.5.9","Other"
"SW.3.3","Regulation of gene expression"
"SW.3.3.1","Transcription factors"
"SW.3.4","RNA synthesis and degradation"
"SW.3.4.1","RNAses"
"SW.3.4.1.1","Endoribonucleases"
"SW.3.4.1.2","Exoribonucleases"
"SW.3.4.1.3","Other"
"SW.3.4.2","Transcription"
"SW.4","Metabolism"
"SW.4.1","Amino acid acquisition"
"SW.4.2","ATP synthesis"
"SW.4.3","Carbon metabolism"
"SW.4.3.1","Carbon core metabolism"
"SW.4.3.2","Utilization of specific carbon sources"
"SW.4.4","Cofactor acquisition"
"SW.4.5","Iron metabolism"
"SW.4.6","Lipid metabolism"
"SW.4.7","Nucleotide metabolism"
"SW.4.8","Phosphate metabolism"
"SW.4.9","Detoxification"