LocusTag,Function
JCVISYN3A_0438,Uncharacterized protein
JCVISYN3A_0482,30S ribosomal protein S21
JCVISYN3A_0452,DNA topoisomerase IV subunit B
JCVISYN3A_0540,30S ribosomal protein S2
JCVISYN3A_0918,Imidazoleglycerol-phosphate dehydratase
JCVISYN3A_0909,Ribonuclease P protein component
JCVISYN3A_0412,Uncharacterized protein
JCVISYN3A_0142,"Protein-(glutamine-N5) methyltransferase,
"
JCVISYN3A_0388,Uncharacterized protein
JCVISYN3A_0612,DNA polymerase III subunit alpha
JCVISYN3A_0807,50S ribosomal protein L10
JCVISYN3A_0240,tRNA 4-thiouridine(8) synthase
JCVISYN3A_0297,Translation initiation factor IF-2
JCVISYN3A_0608,Primosomal protein
JCVISYN3A_0834,Replicative DNA helicase
JCVISYN3A_0523,Cell division protein
JCVISYN3A_0872,Uncharacterized ATPase
JCVISYN3A_0338,Uncharacterized lipoprotein
JCVISYN3A_0025,30S ribosomal protein S18
JCVISYN3A_0622,Uncharacterized lipoprotein
JCVISYN3A_0001,Chromosomal replication initiator protein
JCVISYN3A_0778,Uncharacterized protein
JCVISYN3A_0398,Uncharacterized lipoprotein
JCVISYN3A_0668,50S ribosomal protein L2
JCVISYN3A_0264,Uncharacterized serine/threonine protein kinase
JCVISYN3A_0253,Transcription elongation factor
JCVISYN3A_0302,Flavin reductase
JCVISYN3A_0671,50S ribosomal protein L3
JCVISYN3A_0695,ATP-dependent DNA helicase
JCVISYN3A_0006,DNA gyrase subunit B
JCVISYN3A_0518,Lipoprotein signal peptidase
JCVISYN3A_0082,30S ribosomal protein S20
JCVISYN3A_0824,Excinuclease ABC subunit A
JCVISYN3A_0033,Uncharacterized protein
JCVISYN3A_0301,Ribosome assembly cofactor
JCVISYN3A_0407,RNA polymerase subunit sigma
JCVISYN3A_0810,50S ribosomal protein L11
JCVISYN3A_0199,50S ribosomal protein L35
JCVISYN3A_0332,Uncharacterized protein
JCVISYN3A_0661,50S ribosomal protein L14
JCVISYN3A_0600,Ribonuclease J
JCVISYN3A_0079,"tRNA
"
JCVISYN3A_0034,Uncharacterized efflux ABC transporter permease
JCVISYN3A_0805,Uncharacterized protein
JCVISYN3A_0108,Uncharacterized lipoprotein
JCVISYN3A_0414,"Guanosine-3',5'-bis(diphosphate)
"
JCVISYN3A_0138,Uncharacterized protein
JCVISYN3A_0294,30S ribosomal protein S15
JCVISYN3A_0150,Translation elongation factor G
JCVISYN3A_0039,Membrane anchored AAA+ protease
JCVISYN3A_0662,30S ribosomal protein S17
JCVISYN3A_0666,50S ribosomal protein L22
JCVISYN3A_0504,"16S rRNA
"
JCVISYN3A_0818,Diacylglyceryl transferase
JCVISYN3A_0434,23S rRNA (uridine(1939)-m5)-methyltransferase
JCVISYN3A_0283,Double-stranded RNA binding RNase HI
JCVISYN3A_0154,Uncharacterized peptidase
JCVISYN3A_0442,Iron-sulfur cluster assembly scaffold protein
JCVISYN3A_0247,Ribosome biogenesis GTP-binding protein
JCVISYN3A_0329,Uncharacterized pseudouridine synthase
JCVISYN3A_0389,Uncharacterized protein
JCVISYN3A_0809,50S ribosomal protein L1
JCVISYN3A_0408,Uncharacterized methyltransferase
JCVISYN3A_0429,Signal recognition particle-docking protein
JCVISYN3A_0325,Uncharacterized protein
JCVISYN3A_0690,DNA ligase (NAD(+))
JCVISYN3A_0830,Uncharacterized protein
JCVISYN3A_0027,30S ribosomal protein S6
JCVISYN3A_0377,Ribosome GTPase
JCVISYN3A_0500,Maturation protease for ribosomal protein L27
JCVISYN3A_0144,"tRNA
"
JCVISYN3A_0365,50S ribosomal protein L19
JCVISYN3A_0371,Flippase A
JCVISYN3A_0127,Uncharacterized phosphohydrolase
JCVISYN3A_0406,DNA primase
JCVISYN3A_0003,Ribonuclease M5
JCVISYN3A_0348,Ribosome biogenesis GTPase
JCVISYN3A_0141,Peptide chain release factor 1
JCVISYN3A_0042,Uncharacterized transcriptional regulator
JCVISYN3A_0317,Uncharacterized protein
JCVISYN3A_0364,tRNA (guanosine(37)-N1)-methyltransferase
JCVISYN3A_0376,Uncharacterized protein
JCVISYN3A_0404,DNA repair protein
JCVISYN3A_0511,Uncharacterized protein
JCVISYN3A_0249,Uncharacterized protein
JCVISYN3A_0604,Uncharacterized protein
JCVISYN3A_0774,Preprotein translocase subunit
JCVISYN3A_0710,Uncharacterized hydrolase
JCVISYN3A_0910,50S ribosomal protein L34
JCVISYN3A_0658,30S ribosomal protein S14
JCVISYN3A_0263,Ribosome small subunit-dependent GTPase A
JCVISYN3A_0353,Uncharacterized protein
JCVISYN3A_0548,tRNA (cytidine(34)-2'-O)-methyltransferase
JCVISYN3A_0239,Uncharacterized protein
JCVISYN3A_0501,50S ribosomal protein L21
JCVISYN3A_0517,Uncharacterized RNA pseudouridine synthase
JCVISYN3A_0065,Thioredoxin
JCVISYN3A_0696,Uncharacterized transporter
JCVISYN3A_0254,Excinuclease ABC subunit C
JCVISYN3A_0825,Excinuclease ABC subunit B
JCVISYN3A_0660,50S ribosomal protein L24
JCVISYN3A_0373,Uncharacterized protein
JCVISYN3A_0215,Putative pre-16S rRNA nuclease
JCVISYN3A_0391,Elongation factor P
JCVISYN3A_0363,16S rRNA processing protein
JCVISYN3A_0002,DNA polymerase III subunit beta
JCVISYN3A_0620,Uncharacterized transcriptional regulator
JCVISYN3A_0522,Cell division protein
JCVISYN3A_0303,PolC-type DNA polymerase III
JCVISYN3A_0047,DNA polymerase III subunit gamma and tau
JCVISYN3A_0149,30S ribosomal protein S7
JCVISYN3A_0043,Uncharacterized methyltransferase
JCVISYN3A_0250,Uncharacterized protein
JCVISYN3A_0040,tRNA lysidine(34) synthetase
JCVISYN3A_0851,Uncharacterized lipoprotein
JCVISYN3A_0520,Uncharacterized hydrolase
JCVISYN3A_0352,Uncharacterized protein
JCVISYN3A_0007,DNA gyrase subunit A
JCVISYN3A_0431,Uncharacterized metallophosphoesterase
JCVISYN3A_0817,Uncharacterized DNA-binding protein
JCVISYN3A_0441,Cysteine desulfurase
JCVISYN3A_0637,30S ribosomal protein S9
JCVISYN3A_0803,DNA-directed RNA polymerase subunit beta'
JCVISYN3A_0106,Exodeoxyribonuclease VII large subunit
JCVISYN3A_0379,Uncharacterized protein
JCVISYN3A_0105,Exodeoxyribonuclease VII small subunit
JCVISYN3A_0400,Uncharacterized protease
JCVISYN3A_0601,Uncharacterized protein
JCVISYN3A_0538,Uncharacterized protein
JCVISYN3A_0521,Cell division protein
JCVISYN3A_0524,"16S rRNA
"
JCVISYN3A_0505,Uncharacterized lipoprotein
JCVISYN3A_0881,Uncharacterized MFS transporter
JCVISYN3A_0026,Single-stranded DNA-binding protein
JCVISYN3A_0536,Ribosome recycling factor
JCVISYN3A_0611,DNA polymerase I
JCVISYN3A_0097,Uncharacterized 5'-3' exonuclease
JCVISYN3A_0300,"Transcription termination/antitermination
"
JCVISYN3A_0728,Uncharacterized hydrolase
JCVISYN3A_0525,"Cell division/cell wall cluster transcriptional
"
JCVISYN3A_0411,Uncharacterized protein
JCVISYN3A_0526,50S ribosomal protein L32
JCVISYN3A_0448,Uncharacterized rRNA methyltransferase
JCVISYN3A_0415,Chromosome segregation protein
JCVISYN3A_0116,Uncharacterized protein
JCVISYN3A_0410,Uncharacterized helicase
JCVISYN3A_0645,DNA-directed RNA polymerase subunit alpha
JCVISYN3A_0653,50S ribosomal protein L15
JCVISYN3A_0592,Uncharacterized protein
JCVISYN3A_0638,50S ribosomal protein L13
JCVISYN3A_0481,Uncharacterized lipoprotein
JCVISYN3A_0346,Uncharacterized protein
JCVISYN3A_0080,Uncharacterized protein
JCVISYN3A_0640,tRNA pseudouridine(38-40) synthase
JCVISYN3A_0128,DNA-directed RNA polymerase subunit delta
JCVISYN3A_0094,Uncharacterized protein
JCVISYN3A_0433,Uncharacterized protein
JCVISYN3A_0730,Uncharacterized protein
JCVISYN3A_0541,Molecular chaperone
JCVISYN3A_0361,"23S rRNA
"
JCVISYN3A_0665,30S ribosomal protein S3
JCVISYN3A_0164,Uncharacterized protein
JCVISYN3A_0387,tRNA 2-thiouridine(34) synthase
JCVISYN3A_0281,Uncharacterized protein
JCVISYN3A_0549,Non-canonical purine NTP pyrophosphatase
JCVISYN3A_0667,30S ribosomal protein S19
JCVISYN3A_0439,Uncharacterized lipoprotein
JCVISYN3A_0827,Uncharacterized protein
JCVISYN3A_0146,Uncharacterized protein
JCVISYN3A_0148,30S ribosomal protein S12
JCVISYN3A_0647,30S ribosomal protein S13
JCVISYN3A_0372,Flippase B
JCVISYN3A_0238,30S ribosomal protein S4
JCVISYN3A_0806,50S ribosomal protein L7/L12
JCVISYN3A_0797,Uncharacterized protein
JCVISYN3A_0874,16S rRNA (guanine(527)-N(7))-methyltransferase
JCVISYN3A_0542,Molecular chaperone
JCVISYN3A_0610,DNA-formamidopyrimidine glycosylase
JCVISYN3A_0362,30S ribosomal protein S16
JCVISYN3A_0777,Uncharacterized protein
JCVISYN3A_0499,50S ribosomal protein L27
JCVISYN3A_0453,DNA topoisomerase IV subunit A
JCVISYN3A_0646,30S ribosomal protein S11
JCVISYN3A_0543,Nucleotide exchange factor
JCVISYN3A_0931,Adenylyl-sulfate kinase
JCVISYN3A_0198,50S ribosomal protein L20
JCVISYN3A_0906,Uncharacterized protein
JCVISYN3A_0670,50S ribosomal protein L4
JCVISYN3A_0648,50S ribosomal protein L36
JCVISYN3A_0270,"tRNA
"
JCVISYN3A_0430,Uncharacterized DNA-binding protein
JCVISYN3A_0418,Ribonuclease III
JCVISYN3A_0820,Diacylglyceryl transferase
JCVISYN3A_0623,Uncharacterized protein
JCVISYN3A_0636,Uncharacterized lipoprotein
JCVISYN3A_0298,Uncharacterized L7Ae family protein
JCVISYN3A_0403,Ribosome GTPase
JCVISYN3A_0402,rRNA maturation RNase
JCVISYN3A_0060,Uncharacterized protein
JCVISYN3A_0654,30S ribosomal protein S5
JCVISYN3A_0437,Putative 3'-5' exoribonuclease
JCVISYN3A_0853,Uncharacterized protein
JCVISYN3A_0478,Uncharacterized protein
JCVISYN3A_0639,Uncharacterized efflux ABC transporter permease
JCVISYN3A_0907,Uncharacterized hydrolase
JCVISYN3A_0399,Uncharacterized efflux ABC transporter permease
JCVISYN3A_0873,Uncharacterized protein
JCVISYN3A_0609,Chromosome replication initiation protein
JCVISYN3A_0296,Uncharacterized protein
JCVISYN3A_0838,"23S rRNA
"
JCVISYN3A_0145,Uncharacterized acetyltransferase
JCVISYN3A_0657,30S ribosomal protein S8
JCVISYN3A_0839,Preprotein translocase subunit
JCVISYN3A_0539,Translation elongation factor Ts
JCVISYN3A_0527,Uncharacterized protein
JCVISYN3A_0235,Uncharacterized protein
JCVISYN3A_0826,DNA polymerase III subunit delta
JCVISYN3A_0545,ATP-dependent Clp protease subunit B
JCVISYN3A_0659,50S ribosomal protein L5
JCVISYN3A_0908,Membrane protein insertase
JCVISYN3A_0835,Uncharacterized lipoprotein
JCVISYN3A_0913,"Tetracycline resistance ribosomal protection
"
JCVISYN3A_0416,Uncharacterized protein
JCVISYN3A_0143,Uncharacterized protein
JCVISYN3A_0081,"tRNA uridine(34) 5-carboxymethylaminomethyl
"
JCVISYN3A_0107,Transcription antitermination factor
JCVISYN3A_0132,Toxin-antitoxin AAA ATPase
JCVISYN3A_0290,tRNA pseudouridine(55) synthase
JCVISYN3A_0692,Uncharacterized pseudouridine synthase
JCVISYN3A_0030,"Uncharacterized ABC transporter ATP-binding
"
JCVISYN3A_0776,SsrA-binding protein
JCVISYN3A_0151,Translation elongation factor Tu
JCVISYN3A_0422,50S ribosomal protein L28
JCVISYN3A_0271,"tRNA
"
JCVISYN3A_0503,Uncharacterized protein
JCVISYN3A_0421,Uncharacterized protein
JCVISYN3A_0137,50S ribosomal protein L31
JCVISYN3A_0649,Translation initiation factor IF-1
JCVISYN3A_0046,Recombination protein
JCVISYN3A_0693,Uncharacterized protease
JCVISYN3A_0672,30S ribosomal protein S10
JCVISYN3A_0593,Uncharacterized protein
JCVISYN3A_0644,50S ribosomal protein L17
JCVISYN3A_0656,50S ribosomal protein L6
JCVISYN3A_0832,Aminoacyl-tRNA hydrolase
JCVISYN3A_0870,"Uncharacterized C4-dicarboxylate ABC
"
JCVISYN3A_0366,"L16-binding dependent 50S subunit-maturation
"
JCVISYN3A_0315,Uncharacterized protein
JCVISYN3A_0516,Uncharacterized protein
JCVISYN3A_0109,Deoxyribonuclease IV
JCVISYN3A_0833,50S ribosomal protein L9
JCVISYN3A_0350,DNA-binding protein
JCVISYN3A_0029,Uncharacterized FMN-dependent NADH-azoreductase
JCVISYN3A_0691,Uncharacterized protein
JCVISYN3A_0257,RNase J family beta-CASP ribonuclease
JCVISYN3A_0669,50S ribosomal protein L23
JCVISYN3A_0852,Uncharacterized protein
JCVISYN3A_0605,Uncharacterized protein
JCVISYN3A_0663,50S ribosomal protein L29
JCVISYN3A_0930,50S ribosomal protein L33
JCVISYN3A_0328,Chromosome segregation protein B
JCVISYN3A_0887,Coenzyme A Disulfide Reductase
JCVISYN3A_0440,Uncharacterized lipoprotein
JCVISYN3A_0285,Elongation factor 4
JCVISYN3A_0375,Uncharacterized protein
JCVISYN3A_0424,Uncharacterized protein
JCVISYN3A_0775,Ribonuclease R
JCVISYN3A_0004,"16S rRNA
"
JCVISYN3A_0200,Translation initiation factor IF-3
JCVISYN3A_0859,DNA topoisomerase I
JCVISYN3A_0885,"tRNA uridine(34) 5-carboxymethylaminomethyl
"
JCVISYN3A_0599,Uncharacterized protein
JCVISYN3A_0286,Uncharacterized protein
JCVISYN3A_0327,Chromosome segregation protein A
JCVISYN3A_0615,Uncharacterized protein
JCVISYN3A_0530,Uncharacterized protein
JCVISYN3A_0544,Heat-inducible transcription repressor
JCVISYN3A_0655,50S ribosomal protein L18
JCVISYN3A_0077,Uncharacterized hydrolase
JCVISYN3A_0095,Preprotein translocase subunit A
JCVISYN3A_0202,16S rRNA (guanine(966)-N(2))-methyltransferase
JCVISYN3A_0299,Uncharacterized protein
JCVISYN3A_0326,Uncharacterized protein
JCVISYN3A_0409,Uncharacterized protein
JCVISYN3A_0359,Ribonuclease Y
JCVISYN3A_0392,Uncharacterized protein
JCVISYN3A_0360,Signal recognition particle protein
JCVISYN3A_0248,Uncharacterized protein
JCVISYN3A_0044,DNA polymerase III subunit delta
JCVISYN3A_0652,Preprotein translocase subunit
JCVISYN3A_0054,Uncharacterized peroxiredoxin
JCVISYN3A_0428,Phosphate transport system regulatory protein
JCVISYN3A_0063,Uncharacterized tRNA dihydrouridine synthase
JCVISYN3A_0289,Ribosome-binding factor A
JCVISYN3A_0840,Antitermination protein
JCVISYN3A_0932,50S ribosomal protein L33
JCVISYN3A_0804,DNA-directed RNA polymerase subunit beta
JCVISYN3A_0821,HPr(Ser) kinase/phosphatase
JCVISYN3A_0005,Uncharacterized protein
JCVISYN3A_0664,50S ribosomal protein L16
