"protein 1 locus","protein 1 name","protein 2 locus","protein 2 name"
"JCVISYN3A_0007","GyrA","JCVISYN3A_0006","GyrB"
"JCVISYN3A_0327","ScpA","JCVISYN3A_0328","ScpB"
"JCVISYN3A_0356","RnpB","JCVISYN3A_0909","RnpA"
"JCVISYN3A_0694","PtsH","JCVISYN3A_0821","HprK"
"JCVISYN3A_0233","PtsI","JCVISYN3A_0694","PtsH"
"JCVISYN3A_0804","RpoB","JCVISYN3A_0803","RpoC"
"JCVISYN3A_0645","RpoA","JCVISYN3A_0804","RpoB"
"JCVISYN3A_0804","RpoB","JCVISYN3A_0407","RpoD"
"JCVISYN3A_0645","RpoA","JCVISYN3A_0803","RpoC"
"JCVISYN3A_0645","RpoA","JCVISYN3A_0407","RpoD"
"JCVISYN3A_0803","RpoC","JCVISYN3A_0407","RpoD"
"JCVISYN3A_0257","RnjB","JCVISYN3A_0600","RnjA"
"JCVISYN3A_0685","KtrD","JCVISYN3A_0686","KtrC"
"JCVISYN3A_0002","DnaN","JCVISYN3A_0001","DnaA"
"JCVISYN3A_0001","DnaA","JCVISYN3A_0406","DnaG"
"JCVISYN3A_0001","DnaA","JCVISYN3A_0834","DnaC"
"JCVISYN3A_0608","DnaI","JCVISYN3A_0001","DnaA"
"JCVISYN3A_0609","DnaB","JCVISYN3A_0001","DnaA"
"JCVISYN3A_0406","DnaG","JCVISYN3A_0834","DnaC"
"JCVISYN3A_0608","DnaI","JCVISYN3A_0406","DnaG"
"JCVISYN3A_0609","DnaB","JCVISYN3A_0406","DnaG"
"JCVISYN3A_0608","DnaI","JCVISYN3A_0834","DnaC"
"JCVISYN3A_0609","DnaB","JCVISYN3A_0834","DnaC"
"JCVISYN3A_0609","DnaB","JCVISYN3A_0608","DnaI"
"JCVISYN3A_0105","XseB","JCVISYN3A_0106","XseA"
"JCVISYN3A_0803","RpoC","JCVISYN3A_0128","RpoE"
"JCVISYN3A_0234","Crr","JCVISYN3A_0694","PtsH"
"JCVISYN3A_0234","Crr","JCVISYN3A_0779","PtsG"
"JCVISYN3A_0353","GpsB","JCVISYN3A_0522","FtsZ"
"JCVISYN3A_0522","FtsZ","JCVISYN3A_0239","EzrA"
"JCVISYN3A_0516","YqgP","JCVISYN3A_0039","FtsH"